"Station Name","KAMLOOPS A"
"Province","BRITISH COLUMBIA"
"Latitude","50.70"
"Longitude","-120.45"
"Elevation","345.30"
"Climate Identifier","1163781"
"WMO Identifier","71887"
"TC Identifier","YKA"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-01-01 00:00","2017","01","01","00:00","-4.7","","-6.1","","90","","29","","6","","3.2","","96.80","","","","-7","","Snow"
"2017-01-01 01:00","2017","01","01","01:00","-5.0","","-6.1","","92","","24","","7","","6.4","","96.83","","","","-8","","Snow"
"2017-01-01 02:00","2017","01","01","02:00","-5.8","","-6.9","","92","","35","","7","","24.1","","96.84","","","","-9","","NA"
"2017-01-01 03:00","2017","01","01","03:00","-5.3","","-6.5","","91","","27","","3","","24.1","","96.91","","","","-7","","NA"
"2017-01-01 04:00","2017","01","01","04:00","-5.3","","-6.5","","91","","33","","4","","24.1","","96.92","","","","-7","","Cloudy"
"2017-01-01 05:00","2017","01","01","05:00","-5.7","","-7.2","","89","","30","","4","","24.1","","96.98","","","","-8","","NA"
"2017-01-01 06:00","2017","01","01","06:00","-5.5","","-6.7","","91","","33","","4","","24.1","","97.04","","","","-7","","NA"
"2017-01-01 07:00","2017","01","01","07:00","-5.3","","-6.7","","90","","36","","2","","12.9","","97.11","","","","-6","","Snow"
"2017-01-01 08:00","2017","01","01","08:00","-3.2","","-7.4","","73","","28","","10","","48.3","","97.17","","","","-7","","NA"
"2017-01-01 09:00","2017","01","01","09:00","-3.0","","-8.9","","64","","30","","19","","48.3","","97.28","","","","-9","","NA"
"2017-01-01 10:00","2017","01","01","10:00","-3.2","","-9.1","","64","","29","","36","","32.2","","97.35","","","","-11","","Cloudy"
"2017-01-01 11:00","2017","01","01","11:00","-3.3","","-10.4","","58","","27","","27","","32.2","","97.42","","","","-10","","Blowing Snow"
"2017-01-01 12:00","2017","01","01","12:00","-3.7","","-10.6","","59","","28","","31","","32.2","","97.45","","","","-11","","Blowing Snow"
"2017-01-01 13:00","2017","01","01","13:00","-3.9","","-10.6","","60","","27","","32","","24.1","","97.44","","","","-12","","Blowing Snow"
"2017-01-01 14:00","2017","01","01","14:00","-3.8","","-10.9","","58","","27","","30","","40.2","","97.47","","","","-11","","Blowing Snow"
"2017-01-01 15:00","2017","01","01","15:00","-4.1","","-10.8","","60","","28","","26","","24.1","","97.50","","","","-11","","Blowing Snow"
