"Station Name","KAMLOOPS A"
"Province","BRITISH COLUMBIA"
"Latitude","50.70"
"Longitude","-120.45"
"Elevation","345.30"
"Climate Identifier","1163781"
"WMO Identifier","71887"
"TC Identifier","YKA"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-01-01 00:00","2018","01","01","00:00","-17.7","","-20.2","","81","","10","","18","","64.4","","99.46","","","","-27","","NA"
"2018-01-01 01:00","2018","01","01","01:00","-17.5","","-20.2","","80","","10","","20","","64.4","","99.49","","","","-27","","Mainly Clear"
"2018-01-01 02:00","2018","01","01","02:00","-18.4","","-20.9","","81","","9","","16","","48.3","","99.56","","","","-27","","NA"
"2018-01-01 03:00","2018","01","01","03:00","-17.8","","-20.3","","82","","10","","19","","64.4","","99.59","","","","-27","","NA"
"2018-01-01 04:00","2018","01","01","04:00","-17.3","","-19.8","","81","","9","","18","","64.4","","99.61","","","","-27","","Mostly Cloudy"
"2018-01-01 05:00","2018","01","01","05:00","-17.4","","-20.1","","80","","9","","18","","64.4","","99.63","","","","-27","","NA"
"2018-01-01 06:00","2018","01","01","06:00","-17.0","","-19.9","","79","","9","","19","","64.4","","99.68","","","","-26","","NA"
"2018-01-01 07:00","2018","01","01","07:00","-16.9","","-19.4","","81","","9","","19","","32.2","","99.70","","","","-26","","Snow Showers"
"2018-01-01 08:00","2018","01","01","08:00","-17.0","","-19.7","","80","","9","","19","","48.3","","99.74","","","","-26","","NA"
"2018-01-01 09:00","2018","01","01","09:00","-16.8","","-19.5","","80","","10","","21","","48.3","","99.77","","","","-27","","NA"
"2018-01-01 10:00","2018","01","01","10:00","-16.3","","-19.7","","76","","9","","18","","64.4","","99.81","","","","-25","","Mostly Cloudy"
"2018-01-01 11:00","2018","01","01","11:00","-15.8","","-19.6","","73","","9","","18","","64.4","","99.85","","","","-25","","NA"
"2018-01-01 12:00","2018","01","01","12:00","-14.7","","-18.4","","74","","10","","17","","64.4","","99.83","","","","-23","","NA"
"2018-01-01 13:00","2018","01","01","13:00","-13.6","","-17.3","","74","","10","","20","","64.4","","99.77","","","","-22","","Mostly Cloudy"
"2018-01-01 14:00","2018","01","01","14:00","-13.4","","-17.9","","69","","11","","16","","64.4","","99.74","","","","-21","","NA"
"2018-01-01 15:00","2018","01","01","15:00","-13.2","","-17.6","","70","","10","","12","","64.4","","99.77","","","","-20","","NA"
"2018-01-01 16:00","2018","01","01","16:00","-14.1","","-17.9","","73","","10","","13","","64.4","","99.82","","","","-21","","Mainly Clear"
"2018-01-01 17:00","2018","01","01","17:00","-14.6","","-18.7","","71","","7","","11","","64.4","","99.84","","","","-21","","NA"
"2018-01-01 18:00","2018","01","01","18:00","-13.9","","-17.2","","77","","11","","18","","64.4","","99.86","","","","-22","","NA"
"2018-01-01 19:00","2018","01","01","19:00","-15.1","","-18.6","","75","","10","","14","","64.4","","99.89","","","","-23","","Clear"
"2018-01-01 20:00","2018","01","01","20:00","-15.8","","-18.9","","77","","9","","14","","64.4","","99.88","","","","-24","","NA"
"2018-01-01 21:00","2018","01","01","21:00","-15.1","","-18.2","","77","","11","","21","","64.4","","99.93","","","","-25","","NA"
"2018-01-01 22:00","2018","01","01","22:00","-16.5","","-19.5","","78","","10","","10","","64.4","","99.92","","","","-23","","Mainly Clear"
"2018-01-01 23:00","2018","01","01","23:00","-16.2","","-18.0","","86","","12","","8","","32.2","","99.95","","","","-22","","NA"
"2018-01-02 00:00","2018","01","02","00:00","-17.5","","-20.0","","81","","6","","8","","32.2","","99.95","","","","-23","","NA"
"2018-01-02 01:00","2018","01","02","01:00","-17.2","","-20.0","","80","","3","","7","","32.2","","99.96","","","","-22","","Mainly Clear"
"2018-01-02 02:00","2018","01","02","02:00","-18.3","","-21.1","","79","","8","","8","","32.2","","100.02","","","","-24","","NA"
"2018-01-02 03:00","2018","01","02","03:00","-15.9","","-18.9","","78","","9","","17","","32.2","","100.06","","","","-25","","NA"
"2018-01-02 04:00","2018","01","02","04:00","-16.5","","-19.4","","79","","8","","9","","32.2","","100.06","","","","-23","","Mostly Cloudy"
"2018-01-02 05:00","2018","01","02","05:00","-16.2","","-18.9","","80","","7","","8","","32.2","","100.03","","","","-22","","NA"
"2018-01-02 06:00","2018","01","02","06:00","-15.8","","-18.3","","81","","8","","10","","32.2","","100.02","","","","-22","","NA"
"2018-01-02 07:00","2018","01","02","07:00","-15.8","","-18.7","","79","","6","","8","","32.2","","100.01","","","","-21","","Mostly Cloudy"
"2018-01-02 08:00","2018","01","02","08:00","-15.2","","-17.8","","81","","9","","9","","32.2","","99.96","","","","-21","","NA"
"2018-01-02 09:00","2018","01","02","09:00","-15.3","","-18.3","","78","","8","","3","","48.3","","99.95","","","","-17","","NA"
"2018-01-02 10:00","2018","01","02","10:00","-14.6","","-17.7","","78","","7","","6","","48.3","","99.95","","","","-19","","Cloudy"
"2018-01-02 11:00","2018","01","02","11:00","-14.4","","-17.7","","76","","10","","14","","48.3","","99.89","","","","-22","","NA"
"2018-01-02 12:00","2018","01","02","12:00","-13.6","","-16.9","","76","","9","","13","","48.3","","99.78","","","","-21","","NA"
"2018-01-02 13:00","2018","01","02","13:00","-12.8","","-16.5","","74","","10","","13","","40.2","","99.68","","","","-20","","Snow Showers"
"2018-01-02 14:00","2018","01","02","14:00","-12.1","","-15.8","","74","","11","","13","","32.2","","99.59","","","","-19","","NA"
"2018-01-02 15:00","2018","01","02","15:00","-11.6","","-15.3","","74","","10","","13","","48.3","","99.51","","","","-18","","NA"
"2018-01-02 16:00","2018","01","02","16:00","-11.2","","-15.0","","74","","7","","4","","48.3","","99.45","","","","-14","","Cloudy"
"2018-01-02 17:00","2018","01","02","17:00","-10.9","","-14.3","","76","","16","","8","","32.2","","99.39","","","","-16","","Freezing Rain"
"2018-01-02 18:00","2018","01","02","18:00","-10.3","","-13.5","","78","","11","","12","","32.2","","99.30","","","","-16","","NA"
"2018-01-02 19:00","2018","01","02","19:00","-10.5","","-13.8","","77","","11","","10","","32.2","","99.25","","","","-16","","Cloudy"
"2018-01-02 20:00","2018","01","02","20:00","-10.4","","-13.8","","77","","8","","7","","32.2","","99.21","","","","-14","","NA"
"2018-01-02 21:00","2018","01","02","21:00","-9.9","","-13.3","","77","","7","","7","","32.2","","99.20","","","","-14","","NA"
"2018-01-02 22:00","2018","01","02","22:00","-9.6","","-12.8","","78","","7","","12","","48.3","","99.16","","","","-15","","Freezing Rain"
"2018-01-02 23:00","2018","01","02","23:00","-9.3","","-12.4","","79","","11","","7","","48.3","","99.16","","","","-13","","NA"
